0,2300,1300,2400,3300,2400,2400,3300,1900,1500,700,1400
1900,0,1700,1400,2200,2200,3000,3100,2800,2500,2800,2000
750,2700,0,1500,1900,900,1700,1800,1500,2100,750,1500
2500,3000,2200,0,850,1900,2400,1900,3000,3800,1900,2600
2700,3200,2200,1300,0,1400,1800,1400,2400,3200,1900,3400
1800,3200,1200,1300,1400,0,850,1200,1500,2200,850,2500
1700,3800,1700,2000,1800,850,0,500,800,1700,1200,1900
2200,4100,2200,1500,1400,1200,550,0,950,1800,1800,2700
2600,3200,2700,3800,4600,3500,2600,2300,0,900,850,1500
1900,2500,2000,3100,4000,2800,1600,2400,1000,0,1400,650
700,2800,750,1900,1900,850,1200,1800,850,1400,0,1700
1400,2000,1500,2600,3400,2500,1900,2700,1500,650,1700,0
