0,1500,2100,2700,2400,3400,3600,2200,950,950,900,950
1500,0,750,1400,1900,2500,3200,2200,2700,1500,1500,2000
2100,750,0,800,1300,1800,2500,1700,2200,1900,900,2600
2700,1400,800,0,1300,1500,2200,2100,2600,2300,1300,3200
2400,1900,1300,1300,0,1000,1700,1600,2100,2300,750,2500
2700,3300,1800,1500,1000,0,800,1400,1900,2400,1400,3400
2200,2800,2300,2700,1800,800,0,750,1100,1600,1800,2400
1600,2200,1600,2000,1200,1400,750,0,800,1000,850,1400
1800,2900,2200,2600,1800,1900,1700,800,0,1500,1300,1300
800,1400,2000,2700,1900,2100,1000,1000,1500,0,1100,700
900,1500,900,1300,750,1400,1800,850,1300,1100,0,2100
950,2000,2600,3200,2500,3400,2400,1400,1300,700,2100,0
