0,1000,1300,1600,1400,1200,1900,1800,1200,1700,600,1500
1000,0,950,1800,1600,1500,2100,2000,1700,2200,1000,1400
1500,950,0,1200,2500,2300,2900,2900,2200,2900,1300,1700
1600,1200,1200,0,850,900,1700,1800,1800,3100,1100,2000
1000,1400,1200,850,0,700,1100,1700,1300,2500,900,2300
1300,2300,2100,1200,700,0,800,1000,1700,3000,750,2200
1300,1700,2000,1700,1400,800,0,600,1000,2200,1300,2900
1700,2600,2400,2200,2000,1800,600,0,800,2000,1100,3000
1200,1500,1800,1600,1400,1300,800,800,0,1400,650,2300
2000,1800,2100,2400,2800,2600,3300,3100,1400,0,1900,1600
600,1000,1300,1100,900,750,1300,1100,650,1900,0,1500
1500,1400,1700,2000,2300,2200,2900,3000,2300,1600,1500,0
