8,91,53,70,88,3,60,18,96,60
39,6,95,66,24,69,76,46,15,71
12,58,60,22,31,60,68,74,61,74
12,66,60,25,20,83,92,95,18,98
4,85,97,65,87,77,72,85,43,48
0,8,93,0,16,77,69,36,91,61
3,5,30,50,25,7,88,78,66,98
93,64,79,50,36,49,59,7,16,67
34,41,19,1,29,96,59,38,23,100
41,31,82,92,21,5,28,71,33,97
18,8,53,7,80,46,13,68,58,9
51,42,4,84,81,17,37,33,56,65
53,71,22,15,35,13,98,18,100,97
25,80,61,39,68,87,76,54,93,42
29,7,63,92,100,68,81,43,57,2
13,28,20,34,65,12,42,92,62,3
13,100,70,99,18,26,93,10,66,45
1,40,25,4,16,14,37,46,10,49
41,31,27,46,31,19,45,28,2,45
42,37,3,57,63,97,84,75,7,53
65,97,33,99,11,63,70,38,69,5
50,38,93,60,44,34,10,50,78,21
44,92,82,63,9,24,38,6,88,18
11,39,50,32,97,3,62,25,28,37
50,80,64,43,70,98,31,57,73,24
65,13,31,43,36,32,58,13,32,33
42,100,12,17,73,10,15,54,17,6
21,10,93,52,16,83,12,37,63,90
20,74,94,25,85,58,20,92,36,77
81,95,71,90,79,61,58,37,70,63
4,17,26,95,15,8,41,18,54,71
35,72,87,48,51,50,60,29,74,66
34,67,17,56,92,72,60,91,20,21
66,33,54,23,11,48,23,0,75,18
84,73,4,94,39,91,37,71,54,66
39,4,45,27,63,39,78,55,39,53
34,65,56,96,12,32,83,80,41,66
48,16,16,87,38,13,2,60,36,97
15,1,84,50,52,95,7,82,98,16
50,73,77,60,30,71,47,91,80,67
23,7,69,53,14,81,23,24,35,96
78,39,34,25,79,39,98,52,13,23
41,5,48,25,16,90,25,4,67,57
93,21,44,31,84,11,55,82,8,13
27,37,61,0,34,11,17,61,85,87
99,19,71,94,5,40,78,54,46,93
2,62,77,49,21,93,96,60,27,98
97,92,100,5,98,65,99,56,43,12
3,76,97,69,70,68,5,54,35,17
57,27,97,58,61,67,33,94,67,44
24,5,33,95,33,50,59,63,89,14
90,68,94,34,9,87,19,40,82,82
79,20,4,77,32,13,85,55,48,71
85,48,42,96,93,62,100,29,98,84
61,23,72,29,67,77,55,47,52,34
11,63,29,78,79,65,27,65,37,47
37,20,95,90,68,83,49,46,42,61
12,19,27,76,51,33,66,69,51,37
99,59,57,75,27,55,98,6,100,30
55,24,31,19,45,58,13,54,45,47
82,70,71,31,37,46,26,95,97,22
41,91,99,76,67,73,43,20,82,42
74,43,40,96,7,58,77,89,5,18
30,33,11,11,56,85,65,81,31,25
8,83,40,100,74,88,31,6,23,76
17,59,74,2,14,16,90,51,64,88
18,44,98,66,14,92,20,45,9,92
91,59,10,2,53,72,83,40,27,50
0,74,67,59,74,80,7,54,17,73
65,61,83,37,69,88,20,6,73,37
95,6,66,64,48,65,76,72,55,29
26,56,14,67,45,60,60,14,69,70
