0,1100,2000,2300,1500,1900,1700,1200,1000,500,1500,2500
900,0,1400,1800,1600,2400,2200,1300,1500,1100,1600,2600
2500,1900,0,1000,2100,2500,3400,2500,3500,2800,1400,2300
2400,1700,1100,0,1300,1500,2500,1900,3000,2700,1100,1200
1700,1800,2200,1100,0,800,1700,1100,2300,1900,650,1300
2100,2200,2400,2000,900,0,1100,1500,1700,1800,1300,1400
1300,2100,3600,2600,1900,1400,0,1700,650,750,1800,1700
1200,1300,2000,1500,600,1400,1100,0,1600,1500,950,2000
1000,1500,2900,3900,1900,1300,950,1400,0,450,2200,2300
500,1100,2200,2500,1700,1400,1100,1400,450,0,1700,2400
1500,1600,1400,1100,650,1300,1800,950,2200,1700,0,1600
2500,2600,2300,1200,1300,1400,1700,2000,2300,2400,1600,0
