0,1300,2500,2400,2100,1100,1800,650,600,2200,1600,3100
1500,0,1900,1600,1900,1900,3100,1800,1400,1400,1100,2100
2200,1200,0,1000,1300,2300,2500,2500,2100,800,1200,1200
2100,1500,1000,0,750,1800,2000,2400,2000,500,1100,1700
2100,1700,600,700,0,1200,1400,2600,1600,650,1300,1900
1400,1800,2100,1800,1100,0,800,1500,850,1700,1700,3100
1600,2400,3100,3000,2700,900,0,1300,1200,2800,2500,3000
650,2200,2800,2700,2400,1400,1600,0,900,2500,2000,3400
1100,1600,1900,1800,1500,550,1100,1500,0,1600,1600,3000
1900,1300,800,500,650,1900,2000,2200,1800,0,800,1700
1600,1100,1200,1100,1300,1700,2500,2000,1600,800,0,2300
3100,2100,1200,1700,1900,3100,3000,3400,3000,1700,2300,0
